Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day calls,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total charges,State group churn
128,415,No,Yes,25,110,99,244.7,91,10.0,3,1,False,75.56,3
107,415,No,Yes,26,123,103,254.4,103,13.7,3,1,False,59.24000000000001,3
137,415,No,No,0,114,110,162.6,104,12.2,5,0,False,62.290000000000006,3
84,408,Yes,No,0,71,88,196.9,89,6.6,7,2,False,66.8,3
75,415,Yes,No,0,113,122,186.9,121,10.1,3,3,False,52.089999999999996,2
118,510,Yes,No,0,98,101,203.9,118,6.3,6,0,False,67.61,2
121,510,No,Yes,24,88,108,212.6,118,7.5,7,3,False,78.31,2
147,415,Yes,No,0,79,94,211.8,96,7.1,6,0,False,46.900000000000006,1
141,415,Yes,Yes,37,84,111,326.4,97,11.2,5,0,False,80.53999999999999,2
74,415,No,No,0,127,148,196.0,94,9.1,5,0,False,57.08,1
168,408,No,No,0,96,71,141.1,128,11.2,2,1,False,40.190000000000005,1
95,510,No,No,0,88,75,192.3,115,12.3,5,3,False,59.64,3
62,415,No,No,0,70,76,203.0,99,13.1,6,4,False,59.309999999999995,1
85,408,No,Yes,27,139,90,89.3,75,13.8,4,1,False,65.02,1
93,510,No,No,0,114,111,129.6,121,8.1,3,3,False,58.989999999999995,2
76,510,No,Yes,33,66,65,165.7,108,10.0,5,1,False,60.50000000000001,1
73,415,No,No,0,90,88,192.8,74,13.0,2,1,False,63.9,3
147,415,No,No,0,117,93,208.8,133,10.6,4,0,False,59.0,2
77,408,No,No,0,89,121,209.6,64,5.7,6,5,True,36.019999999999996,2
130,415,No,No,0,112,99,181.8,78,9.5,19,0,False,48.06,1
132,510,No,No,0,86,72,237.0,115,10.3,2,0,False,48.08,1
174,415,No,No,0,76,112,250.7,115,15.5,5,3,False,60.15,1
57,408,No,Yes,39,115,112,182.7,115,9.5,3,0,False,63.24,2
54,408,No,No,0,73,100,102.1,68,14.7,4,3,False,44.61,3
20,415,No,No,0,109,84,181.5,102,6.3,6,0,False,64.12,1
142,415,No,No,0,95,63,250.5,148,14.2,6,2,False,41.14,1
75,510,No,No,0,105,107,246.2,98,10.3,5,1,False,69.42999999999999,2
172,408,No,No,0,121,115,293.3,78,12.6,10,3,False,55.29,1
12,408,No,No,0,118,119,280.2,90,11.8,3,1,True,79.67999999999999,1
57,408,No,Yes,25,94,75,213.5,116,8.3,4,0,False,58.49,2
72,415,No,Yes,37,80,102,152.8,71,14.7,6,3,False,66.72,2
78,415,No,No,0,64,116,227.8,108,10.0,5,1,False,54.2,2
136,415,Yes,Yes,33,106,99,101.7,107,10.5,6,3,False,58.03,1
149,408,No,No,0,94,92,188.3,108,11.1,9,1,False,58.44,3
98,408,No,No,0,102,85,187.8,135,9.4,2,3,False,46.63999999999999,2
135,408,Yes,Yes,41,85,107,122.2,78,14.6,15,0,True,56.199999999999996,3
34,510,No,No,0,82,98,311.5,78,10.0,4,2,False,61.92999999999999,3
160,415,No,No,0,77,110,178.5,92,9.2,4,3,False,39.15,1
64,510,No,No,0,67,118,265.3,86,3.5,3,1,False,58.260000000000005,1
59,408,No,Yes,28,97,92,163.1,116,8.5,5,2,False,48.3,2
142,408,No,No,0,133,74,242.2,127,7.4,5,2,False,56.129999999999995,2
97,415,No,Yes,24,135,58,70.6,79,11.0,3,1,False,47.25,2
52,408,No,No,0,108,96,236.8,87,7.8,5,3,False,68.32,1
60,408,No,No,0,57,115,249.0,129,6.8,3,1,False,68.49000000000001,2
96,415,No,No,0,117,67,228.5,68,9.3,5,2,False,62.76,2
87,415,No,No,0,83,116,203.9,127,9.7,3,5,True,56.14,2
81,408,No,No,0,67,85,270.2,98,10.2,3,1,False,65.94,2
141,415,No,No,0,98,62,140.8,128,8.0,2,1,False,45.370000000000005,2
121,408,No,Yes,30,129,77,181.2,77,5.8,3,3,True,49.849999999999994,2
125,408,No,No,0,103,126,189.3,95,12.0,8,1,False,65.82,2
174,408,No,No,0,97,94,166.6,54,11.4,4,1,False,57.67999999999999,1
116,415,No,Yes,34,83,142,166.3,106,11.6,3,2,False,71.41999999999999,1
149,408,No,Yes,28,92,64,265.5,53,12.6,3,3,False,62.029999999999994,2
38,408,No,No,0,98,97,159.0,106,8.2,6,2,False,45.51,3
40,415,No,Yes,41,74,88,214.1,102,6.2,5,2,False,50.89000000000001,3
43,415,Yes,No,0,105,104,157.8,67,9.3,4,0,False,70.46,2
113,408,Yes,No,0,93,119,129.3,139,8.3,8,0,False,46.88,3
126,408,No,No,0,70,80,153.5,60,7.8,1,1,False,63.42999999999999,2
150,510,No,No,0,101,110,148.6,100,13.8,3,4,True,55.199999999999996,3
138,408,No,No,0,93,83,295.3,104,11.8,7,3,False,72.08,3
162,510,No,Yes,46,97,84,254.6,61,12.1,2,0,False,68.96,3
147,510,No,No,0,83,85,172.5,109,8.0,4,3,False,64.84,1
90,415,No,No,0,146,117,152.4,105,7.3,4,1,False,62.67999999999999,3
50,415,No,No,0,90,72,181.4,111,6.1,2,1,False,55.49999999999999,3
82,415,No,No,0,109,100,270.1,73,11.7,4,0,True,81.75,1
144,408,No,No,0,117,85,173.0,99,8.2,7,4,True,27.02,3
70,408,No,No,0,98,102,228.6,76,15.0,2,1,False,56.459999999999994,3
144,415,No,No,0,99,74,224.0,119,13.2,2,1,False,73.63,2
116,415,Yes,No,0,104,79,278.5,109,12.6,5,3,False,69.96000000000001,2
55,408,No,Yes,25,123,95,175.7,90,11.0,2,3,False,50.599999999999994,2
70,415,No,Yes,24,101,98,222.7,68,9.8,4,1,False,77.16000000000001,2
106,510,No,No,0,96,85,191.4,88,12.4,1,2,True,68.94,3
94,408,No,No,0,105,101,189.6,84,8.0,5,4,True,50.709999999999994,2
111,510,No,No,0,118,76,182.4,98,12.0,2,1,False,65.6,2
74,415,No,Yes,35,104,84,202.1,57,10.9,9,2,False,48.72,2
128,415,No,No,0,125,93,208.9,68,13.9,4,1,True,74.64,3
82,510,No,No,0,61,105,109.6,94,11.1,2,1,False,48.96,1
80,415,No,No,0,100,107,253.2,62,7.9,9,1,False,49.36000000000001,3
78,415,No,No,0,93,112,263.9,105,9.5,7,3,False,72.6,3
90,415,No,No,0,71,81,127.7,91,10.6,7,3,False,55.26,1
104,408,No,No,0,106,113,163.2,137,9.8,5,1,False,64.21000000000001,1
99,415,No,No,0,87,76,190.9,113,8.7,3,4,False,62.25000000000001,1
120,408,No,No,0,131,104,167.2,96,5.3,5,1,True,62.809999999999995,3
98,510,No,Yes,21,114,83,160.2,92,4.4,8,4,False,57.24,1
135,415,No,No,0,82,105,180.0,100,10.5,6,0,False,46.849999999999994,2
122,408,No,No,0,94,109,248.6,75,11.3,2,1,False,57.989999999999995,2
